Θέση Πετάσματος,α (cm),β (cm),α’ (cm)  ,β’ (cm),f (cm),δf (cm),f’ (cm),δf’ (cm),f_i,f_av,(f_i-f_av)^2
130,17.9,112.1,111.4,18.6,15.4353076923077,0.0381266863905325,15.9387692307692,0.0377394082840237,15.4353076923077,15.5494971593446,0.0130392343821713
125,17.8,107.2,105.9,19.1,15.26528,0.037787776,16.18152,0.037054784,15.26528,,0.0807793936659138
120,18.1,101.9,101.0,19.0,15.3699166666667,0.0371917361111111,16.0,0.0366736111111111,15.3699166666667,δf_av,0.0322491533504373
115,18.4,96.6,95.7,19.3,15.456,0.03656,16.0609565217391,0.0360339508506616,15.456,0.0606589812229496,0.00874171880550952
110,18.5,91.5,91.5,18.5,15.3886363636364,0.0360103305785124,15.3886363636364,0.0360103305785124,15.3886363636364,,0.0258761955958753
105,18.6,86.4,85.5,19.5,15.3051428571429,0.0354236734693878,15.8785714285714,0.0348775510204082,15.3051428571429,,0.0597090250044797
100,18.8,81.2,80.2,19.8,15.2656,0.0347344,15.8796,0.0341204,15.2656,,0.0805975970839332
95,19.1,75.9,74.8,20.2,15.2598947368421,0.0339369529085873,15.9048421052632,0.0332580609418283,15.2598947368421,,0.0838695631193165
90,19.6,70.4,69.1,20.9,15.3315555555556,0.0329649382716049,16.0465555555556,0.0321704938271605,15.3315555555556,,0.0474985426621215
85,20.1,64.9,64.2,20.8,15.3469411764706,0.0319447750865052,15.7101176470588,0.031517508650519,15.3469411764706,,0.0410289261980522
80,20.3,59.7,58.1,21.9,15.148875,0.03106390625,15.904875,0.03011890625,15.148875,,0.16049811455793
75,21.5,53.5,52.4,22.6,15.3366666666667,0.0295511111111111,15.7898666666667,0.0289468444444444,15.3366666666667,,0.0452968186135176
70,22.8,47.2,46.5,23.5,15.3737142857143,0.0280375510204082,15.6107142857143,0.0276989795918367,15.3737142857143,,0.030899618661726
65,24.8,40.2,39.1,25.9,15.3378461538462,0.0264033136094675,15.5798461538462,0.0260310059171598,15.3378461538462,,0.0447961481284837
60,29.7,30.3,29.7,30.3,14.9985,0.0250025,14.9985,0.0250025,14.9985,,0.303597869605819
,,,,,,,,,15.9387692307692,,0.151532745591199
1/α (1/cm),δ(1\α) (1\cm),1/β (1/cm),δ(1\β) (1\cm),1/α’ (1/cm)  ,δ(1\α΄) (1\cm),1/β’ (1/cm),δ(1\β’) (1\cm),δl (cm),16.18152,,0.399452871110121
0.05586592,0.00015605,0.00892061,0.00000398,0.00897666,0.00089767,0.05376344,0.00537634,0.05,16.0,,0.195513873205469
0.05617978,0.00015781,0.00932836,0.00000435,0.00944287,0.00094429,0.05235602,0.00523560,,16.0609565217391,,0.261590679380988
0.05524862,0.00015262,0.00981354,0.00000482,0.00990099,0.00099010,0.05263158,0.00526316,,15.3886363636364,,0.0258761955958753
0.05434783,0.00014768,0.01035197,0.00000536,0.01044932,0.00104493,0.05181347,0.00518135,,15.8785714285714,,0.108289874667152
0.05405405,0.00014609,0.01092896,0.00000597,0.01092896,0.00109290,0.05405405,0.00540541,,15.8796,,0.108967885408764
0.05376344,0.00014453,0.01157407,0.00000670,0.01169591,0.00116959,0.05128205,0.00512821,,15.9048421052632,,0.126270030589893
0.05319149,0.00014147,0.01231527,0.00000758,0.01246883,0.00124688,0.05050505,0.00505051,,16.0465555555556,,0.247067049243851
0.05235602,0.00013706,0.01317523,0.00000868,0.01336898,0.00133690,0.04950495,0.00495050,,15.7101176470588,,0.0257989410735475
0.05102041,0.00013015,0.01420455,0.00001009,0.01447178,0.00144718,0.04784689,0.00478469,,15.904875,,0.126293409628895
0.04975124,0.00012376,0.01540832,0.00001187,0.01557632,0.00155763,0.04807692,0.00480769,,15.7898666666667,,0.0577775000502691
0.04926108,0.00012133,0.01675042,0.00001403,0.01721170,0.00172117,0.04566210,0.00456621,,15.6107142857143,,0.00374753656096382
0.04651163,0.00010817,0.01869159,0.00001747,0.01908397,0.00190840,0.04424779,0.00442478,,15.5798461538462,,0.000921061467258147
0.04385965,0.00009618,0.02118644,0.00002244,0.02150538,0.00215054,0.04255319,0.00425532,,14.9985,,0.303597869605819
0.04032258,0.00008130,0.02487562,0.00003094,0.02557545,0.00255754,0.03861004,0.00386100,,,,
0.03367003,0.00005668,0.03300330,0.00005446,0.03367003,0.00336700,0.03300330,0.00330033,,,,
,,,,,,,,,,,
Προσαρμογή Ευθείας,,,,,Υπολογισμός Εστιακής Απόστασης,,,,,,
,,,,,,,,,,,
m,δm,f,δf,,f_anal,δf_anal,f_lin,δf_lin,f_hyper,δf_hyper,
0.06246382,0.00032572,16.00926682,0.08348060,,15.55000000,0.06000000,16.01000000,0.08000000,15.25,0.09,
,,,,,,,,,,,
,,,,,w_i,w_i f_i,f,δf,,,
,,,,,277.77777778,4319.44444444,15.56487179,0.05547002,,,
,,,,,25.00000000,400.25000000,,,,,
,,,,,22.22222222,338.88888889,,,,,